LIMIT,https://www.youtube.com/watch?v=iQwHvRAEk90&list=PLbu_fGT0MPst_ZoLIPPigOEofcvLGaCkc,ARIHANT DIFFERENTIAL CALCULUS.PDF AVAILABLE ON TELEGRAM
CONTINUITY,https://www.youtube.com/watch?v=9jFotcyhTGA&list=PLbu_fGT0MPssLuSg5chsJCWyynHc830Tv,ARIHANT DIFFERENTIAL CALCULUS.PDF AVAILABLE ON TELEGRAM
DIFFERENTIABILITY,https://www.youtube.com/watch?v=SyHNE-_-1RQ&list=PLbu_fGT0MPsvWv28MLB4-4Nbc_2-U42k1,ARIHANT DIFFERENTIAL CALCULUS.PDF AVAILABLE ON TELEGRAM
DIFFERENTATION,https://www.youtube.com/watch?v=DpmP7S8YP9o&list=PLbu_fGT0MPstRQE_YHxk78sWcgwskuYpe,ARIHANT DIFFERENTIAL CALCULUS.PDF AVAILABLE ON TELEGRAM
AOD,https://www.youtube.com/watch?v=IlJm4-IMlh0&list=PLbu_fGT0MPsshbtNlOgInx-SrJkOCnznW,ARIHANT DIFFERENTIAL CALCULUS.PDF AVAILABLE ON TELEGRAM
INDEFINITE INTEGRAL,https://www.youtube.com/watch?v=i5hUQVwtock&list=PLbu_fGT0MPstBzAW5gGWLltksM_yAs3si,ARIHANT INTEGRAL CALCULUS.PDF AVAILABLE ON TELEGRAM
DEFINITE INTEGRAL,https://www.youtube.com/watch?v=tsj_Fpw9uP8&list=PLbu_fGT0MPstXGC6nK5VZcb2FyjqLY6_J,ARIHANT INTEGRAL CALCULUS.PDF AVAILABLE ON TELEGRAM
AREA UNDER CURVE,https://www.youtube.com/watch?v=6jTQ1U3R0UE&list=PLbu_fGT0MPssvCsc8lHB9x9IrRF7fLxkO,ARIHANT INTEGRAL CALCULUS.PDF AVAILABLE ON TELEGRAM
PERMUTATION AND COMBINATION,https://www.youtube.com/watch?v=qw8OE2UpTnk&list=PLbu_fGT0MPsugFvokgkYZqe78fN_ZpIUy,CENGAGE ALGEBRA G TEWANI PDF FROM TELEGRAM
THOERY OF EQUATION,https://www.youtube.com/watch?v=rx8chAgXwhs&list=PLbu_fGT0MPsvrb3-8HLf8cic6djjL7KDo,CENGAGE ALGEBRA G TEWANI PDF FROM TELEGRAM
COMPLEX NUMBER,https://www.youtube.com/watch?v=1htxVTpHTS4&list=PLbu_fGT0MPst8MSMkBDnOHD9I7EkQBoUo,CENGAGE ALGEBRA G TEWANI PDF FROM TELEGRAM
NUMBER THOERY,https://www.youtube.com/watch?v=FAmvFm8ELgY&list=PLIDpKxpqzb0HkKqOe4go2XM9KhU3xFVCH,TOMATO BOOK OF ISI(AVAILABLE ON TELEGRAM)
LINEAR ALGEBRA,https://www.youtube.com/playlist?list=PLKS7ZMKnbPrT-Gy4k0r8jAr0mX2K32yyV,DETERMINANTS AND MATRICES CHAPTER FROM BOOK HK DAS ON TELEGRAM
,https://www.youtube.com/watch?v=np-FGJTsgUU&list=PLKS7ZMKnbPrSINzXnhUudFxYAyXCD4gm-,
PARABOLA(not very imp),https://www.youtube.com/watch?v=LsYvJc56yag,ARIHANT CO ORDINATE GEOMETRY BOOK(most questions are usually asked from staright line and circle)
ELLIPSE(not very imp),https://www.youtube.com/watch?v=8asqPexzYzc,ARIHANT CO ORDINATE GEOMETRY BOOK(most questions are usually asked from staright line and circle)
HYPERBOLA(not very imp),https://www.youtube.com/watch?v=Es6IoDqItuc\,ARIHANT CO ORDINATE GEOMETRY BOOK(most questions are usually asked from staright line and circle)
SEQUENCES AND ITS PROPERTIES,https://www.youtube.com/playlist?list=PL_QIQEraLweFvlVDFu_oTqgNvXUie_BR5,BS GREWAL UNIT 3 SERIES(AVAILABLE ON TELEGRAM)
,https://www.youtube.com/playlist?list=PL_QIQEraLweE0Twx6FckIEbBoAMX2MM4c,BS GREWAL UNIT 3 SERIES(AVAILABLE ON TELEGRAM)
FUNCTION OF SEVERAL VARIABLES,https://www.youtube.com/watch?v=ZdTKf8HmZvA&list=PLbPKXd6I4z1n1Mj29c9nBWXwpnWv-mXKm,"Not that importantt just solve related to previous year questions and previous year papers are available on Telegram.(Questions related to ""Directional derivative"" are important."
DIFFERENTIAL EQUATION,https://www.youtube.com/watch?v=bjJZKTrCBNw&list=PLU6SqdYcYsfIuZVt20v-eNZBfFLENrM1F&index=1,FROM ENGG MATHEMATICS BOOK of BS GREWAL 
PROBABILITY,https://www.youtube.com/watch?v=w5L0J_OY9iU&list=PLbu_fGT0MPsuYEGQGhOjYE_g257ukBXuC,CENGAGE ALGEBRA BOOK SOLVED EXAMPLES
"REMAINDER THOEREM ,FACTOR THOEREM",https://www.youtube.com/watch?v=cgXTohh7UkI,related questions from tomato book can be solved
DOUBLE INTEGRAL,https://www.youtube.com/watch?v=Z5S3tLEUgjQ&list=PLm-b21hT527UoxWNVEf7NIbSby-XfJ7LF,QUESTIONS ON DOUBLE INTEGRAL FROM BS GREWAL
GROUP THOERY,https://www.youtube.com/playlist?list=PL_QIQEraLweHMEHT3G_DdLaj1_hrJu3xj,IN TELEGRAM CHANNEL A PDF NAMED 1.PDF
TRIGONOMETRY(not very imp),https://www.youtube.com/watch?v=pmiWu0Evc6A,CAN BE SKIPPED
PROPERTIES OF TRIANGLE.,https://www.youtube.com/watch?v=OOpGqsYnPj0&list=PLbu_fGT0MPsvzEqXCkrnAetBPuus-kZp2,PREVIOUS YEAR QUESTIONS AND TOMATO
,,
Thermodynamics ,https://www.youtube.com/playlist?list=PL9RcWoqXmzaK6AHCCyL_J6gqc02RN-w-D,
PQB Blog(paper 2 ),https://medium.com/isi-entrance-preparation/how-to-study-for-engineering-for-2f203d755e18,
"IN THERMODYNAMICS WE HAVE SOME TOPICS OF THERMO CHEMISTRY AS WELL,PDF TO DO THAT IS AVAILABLE IN TELEGRAM CHANNEL.",,
"THERMODYNAMICS:
THE IMPORTANT BOOK FOR PREPARATION IS P K NAG.

THE CHAPTER YOU SHOULD READ AND SOLVE SOLVED EXAMPLE AND DO DERIVATION ARE:

CHAPTER:3,4,6,7,8 AND BASICS OF IC ENGINE LIKE OTTO AND DIESEL CYCLE.



MECHANICS BOOK OF MADE EASY CAN ALSO BE USED FOR PRACTICE WITH THOERY AND SOLVED EXAMPLE FROM R S KHURMI:check more here https://medium.com/@stoic_sapien1/how-to-study-for-engineering-for-2f203d755e18",,
,,
,,
,,
,,
,,
,,
"IMPORTANT TYPES OF QUESTIONS:TOPIC,QUESTION PROFILE,LEARNING RESOURCE,REMARK
THERMODYNAMICS,PISTON CYLINDER PROBLEMS,P K NAG,SOLVE ALL P K NAG SOLVED EXAMPLES 
THERMODYNAMICS,""HEAT ENGINE,COP PROBLEMS"",P K NAG,SOLVE ALL P K NAG SOLVED EXAMPLES 
THERMODYNAMICS,CHANGE IN ENTHALPY WITH VARIABLE Cp AND Cv,P K NAG,SOLVE ALL P K NAG SOLVED EXAMPLES 
THERMODYNAMICS,ENTROPY PROBLEMS,P K NAG,SOLVE ALL P K NAG SOLVED EXAMPLES 
THERMODYNAMICS,IMPORTANT FORMUL DERIVATION.,P K NAG,SOLVE ALL P K NAG SOLVED EXAMPLES 
MECHANICS,COUPLE/MOMENT CALCULATION,R S KHURMI,SOLVE ALL R S KHURMI SOLVED EXAMPLES FROM CH1 TO CH 18
MECHANICS,MOMENT OF INTERIA CALCULATION,PREVIOUS YEARQUESTION + MANAS PATNAIK YT CHANNEL,SOLVE ALL R S KHURMI SOLVED EXAMPLES FROM CH1 TO CH 18
MECHANICS,SHAFT AND BELT PROBLEMS,PREVIOUS YEARQUESTION ,SOLVE ALL R S KHURMI SOLVED EXAMPLES FROM CH1 TO CH 18
MECHANICS,PULLEY PROBLEM(NLM),FROM JEE PHYSICS BOOK,SOLVE ALL R S KHURMI SOLVED EXAMPLES FROM CH1 TO CH 18
MECHANICS,TOPPLING PROBLEM,FROM JEE PHYSICS BOOK,SOLVE ALL R S KHURMI SOLVED EXAMPLES FROM CH1 TO CH 18
MECHANICS,HAMMER AND NAIL PROBLEMS,R S KHURMI,SOLVE ALL R S KHURMI SOLVED EXAMPLES FROM CH1 TO CH 18",,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
FOR SOM PREVIOUS YEAR QUESTION SHOULD BE YOUR MAIN FOCUS AND SOLVE SIMILAR TYPE QUESTION FROM ANY SOM BOOKS.,,
"For electrical
According to a batchmate: Fundamentals Of Electric Circuits By Charles K Alexander & Matthew N O Sadiku and Electrical machines by ashfaq hussain for numericals and PYQs are a must And Made Easy Notes",,
SOLVE AND ANALYSE PREVIOUS YEAR PAPERS AND GO FORTH!,,
